CODE,PHL369H1-S-20229-LEC-5101
CAP,35
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,29
1657659562,29
1657678580,29
1657700377,29
1657734892,29
1657736031,29
1657737680,29
1657744796,29
1657780717,29
1657815723,32
1657827444,32
1657841424,32
1657851524,32
1657853756,32
1657868023,32
1657911025,50
1657914749,50
1657938204,50
1657991885,49
1658011963,49
1658085387,50
1658086283,50
1658101152,50
1658101473,50
1658117893,50
1658120808,50
1658149282,51
1658163609,51
1658192584,51
1658255580,54
1658255781,54
1658265969,54
1658282799,54
1658284132,54
1658341011,54
1658425310,53
1658438101,53
1658446157,53
1658446785,53
1658460004,53
1658514131,54
