CODE,FRE272H1-F-20229-LEC-0101
CAP,90
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,1
1657560897,1
1657592482,1
1657598158,1
1657657520,3
1657659549,3
1657678570,3
1657700365,3
1657734871,3
1657736010,3
1657737663,3
1657744779,3
1657780708,3
1657815709,4
1657827433,4
1657841414,4
1657851506,4
1657853745,4
1657868013,4
1657911016,13
1657914736,13
1657938194,13
1657991875,13
1658011950,13
1658085371,13
1658086263,13
1658101142,13
1658101460,13
1658117879,13
1658120793,13
1658149259,13
1658163599,13
1658192570,13
1658255570,37
1658255771,37
1658265950,37
1658282790,37
1658284116,37
1658341001,37
1658425295,38
1658438086,38
1658446145,38
1658446771,38
1658459993,38
1658514122,41
1658536177,41
1658552496,41
1658614184,41
1658631640,41
1658698072,41
1658768579,41
1658788810,41
1658856123,41
1658878855,41
1658879061,41
1658965224,41
1659041771,41
1659049567,41
1659055044,41
1659106101,41
1659116089,41
1659126296,41
1659137072,41
1659154611,41
1659160554,41
1659197509,70
1659228141,70
1659229848,70
1659252431,70
1659298084,70
