CODE,TRN303H1-S-20229-LEC-0101
CAP,20
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,1
1657659562,1
1657678580,1
1657700377,1
1657734892,1
1657736031,1
1657737680,1
1657744796,1
1657780717,1
1657815723,1
1657827444,1
1657841424,1
1657851524,1
1657853756,1
1657868023,1
1657911025,11
1657914749,11
1657938204,11
1657991885,12
1658011963,12
1658085387,12
1658086283,12
1658101152,12
1658101473,12
1658117893,12
1658120808,12
1658149282,11
1658163609,11
1658192584,11
1658255580,11
1658255781,11
1658265969,11
1658282799,11
1658284132,11
1658341011,11
1658425310,11
1658438101,11
1658446157,11
1658446785,11
1658460004,11
1658514131,11
