CODE,PSY324H1-S-20229-LEC-0101
CAP,50
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,2
1657560905,2
1657592491,2
1657598166,2
1657657537,24
1657659562,24
1657678580,24
1657700377,24
1657734892,25
1657736031,25
1657737680,25
1657744796,25
1657780717,25
1657815723,25
1657827444,25
1657841424,25
1657851524,25
1657853756,25
1657868023,25
1657911025,71
1657914749,71
1657938204,71
1657991885,70
1658011963,70
1658085387,70
1658086283,70
1658101152,70
1658101473,70
1658117893,70
1658120808,70
1658149282,70
1658163609,70
1658192584,70
1658255580,72
1658255781,72
1658265969,72
1658282799,72
1658284132,72
1658341011,73
1658425310,73
1658438101,73
1658446157,73
1658446785,73
1658460004,73
1658514131,73
1658536189,73
1658552506,73
1658614194,72
1658631652,72
1658698082,72
1658768591,72
1658788819,72
1658856132,72
1658878866,72
1658879072,72
