CODE,FSL314H1-S-20229-LEC-0101
CAP,35
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,1
1657659562,1
1657678580,1
1657700377,1
1657734892,1
1657736031,1
1657737680,1
1657744796,1
1657780717,1
1657815723,1
1657827444,1
1657841424,1
1657851524,1
1657853756,1
1657868023,1
1657911025,4
1657914749,4
1657938204,4
1657991885,4
1658011963,4
1658085387,4
1658086283,4
1658101152,4
1658101473,4
1658117893,4
1658120808,4
1658149282,4
1658163609,4
1658192584,4
1658255580,12
1658255781,12
1658265969,12
1658282799,12
1658284132,12
1658341011,13
1658425310,13
1658438101,13
1658446157,13
1658446785,13
1658460004,13
1658514131,13
1658536189,13
1658552506,13
1658614194,13
1658631652,13
1658698082,14
1658768591,14
1658788819,14
1658856132,12
1658878866,12
1658879072,12
1658965232,12
1659041782,12
1659049575,12
1659055055,12
