CODE,PSY323H1-F-20229-LEC-0101
CAP,50
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,3
1657560897,3
1657592482,3
1657598158,3
1657657520,26
1657659549,26
1657678570,26
1657700365,26
1657734871,26
1657736010,26
1657737663,26
1657744779,26
1657780708,26
1657815709,28
1657827433,28
1657841414,28
1657851506,28
1657853745,28
1657868013,28
1657911016,72
1657914736,72
1657938194,72
1657991875,72
1658011950,72
1658085371,72
1658086263,72
1658101142,72
1658101460,72
1658117879,72
1658120793,72
1658149259,71
1658163599,71
1658192570,71
1658255570,74
1658255771,74
1658265950,74
1658282790,74
1658284116,74
1658341001,75
1658425295,74
1658438086,74
1658446145,74
1658446771,74
1658459993,74
1658514122,74
1658536177,74
1658552496,74
1658614184,74
1658631640,74
1658698072,74
1658768579,74
1658788810,74
1658856123,74
1658878855,74
1658879061,74
