CODE,HIS387H1-F-20229-LEC-0101
CAP,45
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,16
1657659549,16
1657678570,16
1657700365,16
1657734871,17
1657736010,17
1657737663,17
1657744779,17
1657780708,17
1657815709,16
1657827433,16
1657841414,16
1657851506,16
1657853745,16
1657868013,16
1657911016,38
1657914736,38
1657938194,38
1657991875,38
1658011950,38
1658085371,38
1658086263,38
1658101142,38
1658101460,38
1658117879,38
1658120793,38
1658149259,39
1658163599,39
1658192570,39
1658255570,44
1658255771,44
1658265950,44
1658282790,44
1658284116,44
1658341001,44
1658425295,45
1658438086,45
1658446145,45
1658446771,45
1658459993,45
1658514122,46
