CODE,PSY333H1-F-20229-LEC-0101
CAP,50
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,52
1657659549,52
1657678570,52
1657700365,52
1657734871,52
1657736010,52
1657737663,52
1657744779,52
1657780708,52
1657815709,53
1657827433,53
1657841414,53
1657851506,53
1657853745,53
1657868013,53
1657911016,71
1657914736,71
1657938194,71
1657991875,69
1658011950,69
1658085371,69
1658086263,69
1658101142,69
1658101460,69
1658117879,69
1658120793,69
1658149259,69
1658163599,69
1658192570,69
1658255570,72
1658255771,72
1658265950,72
1658282790,72
1658284116,72
1658341001,72
1658425295,73
1658438086,73
1658446145,73
1658446771,73
1658459993,73
1658514122,73
1658536177,73
1658552496,73
1658614184,73
1658631640,73
1658698072,74
1658768579,74
1658788810,74
1658856123,74
1658878855,74
1658879061,74
1658965224,73
1659041771,73
1659049567,73
1659055044,73
1659106101,73
1659116089,73
1659126296,73
1659137072,73
1659154611,73
1659160554,73
1659197509,78
1659228141,78
1659229848,78
1659252431,78
1659298084,78
