CODE,ACT470H1-S-20229-LEC-5101
CAP,30
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,1
1657560905,1
1657592491,1
1657598166,1
1657657537,4
1657659562,4
1657678580,4
1657700377,4
1657734892,4
1657736031,4
1657737680,4
1657744796,4
1657780717,4
1657815723,4
1657827444,4
1657841424,4
1657851524,4
1657853756,4
1657868023,4
1657911025,4
1657914749,4
1657938204,4
1657991885,4
1658011963,4
1658085387,4
1658086283,4
1658101152,4
1658101473,4
1658117893,4
1658120808,4
1658149282,4
1658163609,4
1658192584,4
1658255580,4
1658255781,4
1658265969,4
1658282799,4
1658284132,4
1658341011,7
1658425310,7
1658438101,7
1658446157,7
1658446785,7
1658460004,7
1658514131,7
1658536189,7
1658552506,7
1658614194,7
1658631652,7
1658698082,7
1658768591,7
1658788819,7
1658856132,6
1658878866,6
1658879072,6
1658965232,6
1659041782,6
1659049575,6
1659055055,6
