CODE,PHL303H1-F-20229-LEC-0101
CAP,35
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,7
1657659549,7
1657678570,7
1657700365,7
1657734871,7
1657736010,7
1657737663,7
1657744779,7
1657780708,7
1657815709,7
1657827433,7
1657841414,7
1657851506,7
1657853745,7
1657868013,7
1657911016,24
1657914736,24
1657938194,24
1657991875,25
1658011950,25
1658085371,25
1658086263,25
1658101142,25
1658101460,25
1658117879,25
1658120793,25
1658149259,25
1658163599,25
1658192570,25
1658255570,28
1658255771,28
1658265950,28
1658282790,28
1658284116,28
1658341001,31
1658425295,34
1658438086,34
1658446145,34
1658446771,34
1658459993,34
1658514122,35
1658536177,35
1658552496,35
1658614184,34
1658631640,34
1658698072,34
1658768579,34
1658788810,34
1658856123,32
1658878855,32
1658879061,32
