CODE,STA305H1-F-20229-LEC-0101
CAP,250
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,39
1657560897,38
1657592482,38
1657598158,38
1657657520,100
1657659549,100
1657678570,100
1657700365,100
1657734871,102
1657736010,102
1657737663,102
1657744779,102
1657780708,102
1657815709,105
1657827433,105
1657841414,105
1657851506,105
1657853745,105
1657868013,105
1657911016,134
1657914736,134
1657938194,134
1657991875,136
1658011950,136
1658085371,134
1658086263,134
1658101142,134
1658101460,134
1658117879,134
1658120793,134
1658149259,134
1658163599,134
1658192570,134
1658255570,136
1658255771,136
1658265950,136
1658282790,136
1658284116,136
1658341001,125
1658425295,127
1658438086,127
1658446145,127
1658446771,127
1658459993,127
1658514122,128
1658536177,128
1658552496,128
1658614184,126
1658631640,126
1658698072,125
1658768579,125
1658788810,125
1658856123,127
1658878855,127
1658879061,127
1658965224,127
1659041771,127
1659049567,127
1659055044,127
