CODE,PSY290H1-F-20229-LEC-0101
CAP,188
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,3
1657560897,3
1657592482,3
1657598158,3
1657657520,8
1657659549,8
1657678570,8
1657700365,8
1657734871,8
1657736010,8
1657737663,8
1657744779,8
1657780708,8
1657815709,10
1657827433,10
1657841414,10
1657851506,10
1657853745,10
1657868013,10
1657911016,42
1657914736,42
1657938194,42
1657991875,43
1658011950,43
1658085371,44
1658086263,44
1658101142,44
1658101460,44
1658117879,44
1658120793,44
1658149259,44
1658163599,44
1658192570,44
1658255570,117
1658255771,117
1658265950,117
1658282790,117
1658284116,117
1658341001,119
1658425295,119
1658438086,119
1658446145,119
1658446771,119
1658459993,119
1658514122,119
1658536177,119
1658552496,119
1658614184,118
1658631640,118
1658698072,119
1658768579,119
1658788810,119
1658856123,119
1658878855,119
1658879061,119
1658965224,119
1659041771,119
1659049567,119
1659055044,119
1659106101,119
1659116089,119
1659126296,119
1659137072,119
1659154611,119
1659160554,119
1659197509,196
1659228141,196
1659229848,196
1659252431,196
1659298084,196
