CODE,ACT247H1-S-20229-LEC-0101
CAP,160
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,0
1657659562,0
1657678580,0
1657700377,0
1657734892,0
1657736031,0
1657737680,0
1657744796,0
1657780717,0
1657815723,0
1657827444,0
1657841424,0
1657851524,0
1657853756,0
1657868023,0
1657911025,15
1657914749,15
1657938204,15
1657991885,16
1658011963,16
1658085387,16
1658086283,16
1658101152,16
1658101473,16
1658117893,16
1658120808,16
1658149282,16
1658163609,16
1658192584,16
1658255580,78
1658255781,78
1658265969,78
1658282799,78
1658284132,78
1658341011,82
1658425310,82
1658438101,82
1658446157,82
1658446785,82
1658460004,82
1658514131,86
1658536189,86
1658552506,86
1658614194,86
1658631652,86
1658698082,86
1658768591,86
1658788819,86
1658856132,87
1658878866,87
1658879072,87
