CODE,FRE483H1-S-20229-LEC-0101
CAP,20
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,2
1657659562,2
1657678580,2
1657700377,2
1657734892,2
1657736031,2
1657737680,2
1657744796,2
1657780717,2
1657815723,2
1657827444,2
1657841424,2
1657851524,2
1657853756,2
1657868023,2
1657911025,4
1657914749,4
1657938204,4
1657991885,4
1658011963,4
1658085387,5
1658086283,5
1658101152,5
1658101473,5
1658117893,5
1658120808,5
1658149282,5
1658163609,5
1658192584,5
1658255580,7
1658255781,7
1658265969,7
1658282799,7
1658284132,7
1658341011,7
1658425310,7
1658438101,7
1658446157,7
1658446785,7
1658460004,7
1658514131,7
1658536189,7
1658552506,7
1658614194,7
1658631652,7
1658698082,7
1658768591,7
1658788819,7
1658856132,7
1658878866,7
1658879072,7
1658965232,7
1659041782,7
1659049575,7
1659055055,7
1659106110,7
1659116097,7
1659126308,7
1659137081,7
1659154622,7
1659160562,7
1659197518,8
1659228149,8
1659229856,8
1659252439,8
1659298092,8
