CODE,RLG195H1-F-20229-LEC-0101
CAP,22
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,0
1657659549,0
1657678570,0
1657700365,0
1657734871,0
1657736010,0
1657737663,0
1657744779,0
1657780708,0
1657815709,0
1657827433,0
1657841414,0
1657851506,0
1657853745,0
1657868013,0
1657911016,0
1657914736,0
1657938194,0
1657991875,0
1658011950,0
1658085371,0
1658086263,0
1658101142,0
1658101460,0
1658117879,0
1658120793,0
1658149259,0
1658163599,0
1658192570,0
1658255570,0
1658255771,0
1658265950,0
1658282790,0
1658284116,0
1658341001,0
1658425295,0
1658438086,0
1658446145,0
1658446771,0
1658459993,0
1658514122,17
1658536177,17
1658552496,17
1658614184,18
1658631640,18
1658698072,18
1658768579,19
1658788810,19
1658856123,19
1658878855,19
1658879061,19
1658965224,19
1659041771,19
1659049567,19
1659055044,19
1659106101,19
1659116089,19
1659126296,19
1659137072,19
1659154611,19
1659160554,19
1659197509,19
1659228141,19
1659229848,19
1659252431,19
1659298084,19
