CODE,CRI386H1-S-20229-LEC-0101
CAP,60
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,24
1657659562,24
1657678580,24
1657700377,24
1657734892,24
1657736031,24
1657737680,24
1657744796,24
1657780717,24
1657815723,26
1657827444,26
1657841424,26
1657851524,26
1657853756,26
1657868023,26
1657911025,57
1657914749,57
1657938204,57
1657991885,56
1658011963,56
1658085387,55
1658086283,55
1658101152,55
1658101473,55
1658117893,55
1658120808,55
1658149282,55
1658163609,55
1658192584,55
1658255580,65
1658255781,65
1658265969,65
1658282799,65
1658284132,65
1658341011,65
1658425310,66
1658438101,66
1658446157,66
1658446785,66
1658460004,66
1658514131,66
1658536189,66
1658552506,66
1658614194,66
1658631652,66
1658698082,67
1658768591,68
1658788819,68
1658856132,68
1658878866,68
1658879072,68
1658965232,66
1659041782,66
1659049575,66
1659055055,66
1659106110,66
1659116097,66
1659126308,66
1659137081,66
1659154622,66
1659160562,66
1659197518,68
1659228149,68
1659229856,68
1659252439,68
1659298092,68
