CODE,CHM317H1-S-20229-LEC-0101
CAP,54
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,16
1657659562,16
1657678580,16
1657700377,16
1657734892,15
1657736031,15
1657737680,15
1657744796,15
1657780717,15
1657815723,15
1657827444,15
1657841424,15
1657851524,15
1657853756,15
1657868023,15
1657911025,41
1657914749,41
1657938204,41
1657991885,42
1658011963,42
1658085387,42
1658086283,42
1658101152,42
1658101473,42
1658117893,42
1658120808,42
1658149282,42
1658163609,42
1658192584,42
1658255580,44
1658255781,44
1658265969,44
1658282799,44
1658284132,44
1658341011,45
1658425310,45
1658438101,45
1658446157,45
1658446785,45
1658460004,45
1658514131,45
1658536189,45
1658552506,45
1658614194,45
1658631652,45
1658698082,45
1658768591,47
1658788819,47
1658856132,46
1658878866,46
1658879072,46
1658965232,46
1659041782,46
1659049575,46
1659055055,46
1659106110,46
1659116097,46
1659126308,46
1659137081,46
1659154622,46
1659160562,46
1659197518,55
1659228149,55
1659229856,55
1659252439,55
1659298092,55
