CODE,FAH245H1-S-20229-LEC-0101
CAP,150
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,16
1657659562,16
1657678580,16
1657700377,16
1657734892,18
1657736031,18
1657737680,18
1657744796,18
1657780717,18
1657815723,19
1657827444,19
1657841424,19
1657851524,19
1657853756,19
1657868023,19
1657911025,43
1657914749,43
1657938204,43
1657991885,44
1658011963,44
1658085387,45
1658086283,45
1658101152,45
1658101473,45
1658117893,45
1658120808,45
1658149282,45
1658163609,45
1658192584,45
1658255580,100
1658255781,100
1658265969,100
1658282799,100
1658284132,100
1658341011,102
1658425310,103
1658438101,103
1658446157,103
1658446785,103
1658460004,103
1658514131,115
1658536189,115
1658552506,115
1658614194,117
1658631652,117
1658698082,118
1658768591,117
1658788819,117
1658856132,117
1658878866,117
1658879072,117
1658965232,117
1659041782,118
1659049575,118
1659055055,118
1659106110,118
1659116097,118
1659126308,118
1659137081,118
1659154622,118
1659160562,118
1659197518,126
1659228149,126
1659229856,126
1659252439,126
1659298092,127
