CODE,CHM437H1-S-20229-LEC-0101
CAP,40
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,1
1657560905,1
1657592491,1
1657598166,1
1657657537,19
1657659562,19
1657678580,19
1657700377,19
1657734892,20
1657736031,20
1657737680,20
1657744796,20
1657780717,20
1657815723,20
1657827444,20
1657841424,20
1657851524,20
1657853756,20
1657868023,20
1657911025,33
1657914749,33
1657938204,33
1657991885,35
1658011963,35
1658085387,36
1658086283,36
1658101152,36
1658101473,36
1658117893,36
1658120808,36
1658149282,36
1658163609,36
1658192584,36
1658255580,36
1658255781,36
1658265969,36
1658282799,36
1658284132,36
1658341011,36
1658425310,36
1658438101,36
1658446157,36
1658446785,36
1658460004,36
1658514131,36
