CODE,GGR217H1-F-20229-LEC-5101
CAP,145
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,2
1657560897,2
1657592482,2
1657598158,2
1657657520,3
1657659549,3
1657678570,3
1657700365,3
1657734871,3
1657736010,3
1657737663,3
1657744779,3
1657780708,3
1657815709,3
1657827433,3
1657841414,3
1657851506,3
1657853745,3
1657868013,3
1657911016,20
1657914736,20
1657938194,20
1657991875,20
1658011950,20
1658085371,20
1658086263,20
1658101142,20
1658101460,20
1658117879,20
1658120793,20
1658149259,20
1658163599,20
1658192570,20
1658255570,69
1658255771,69
1658265950,69
1658282790,69
1658284116,69
1658341001,71
1658425295,73
1658438086,73
1658446145,73
1658446771,73
1658459993,73
1658514122,73
1658536177,73
1658552496,73
1658614184,73
1658631640,73
1658698072,73
1658768579,73
1658788810,73
1658856123,74
1658878855,74
1658879061,74
