CODE,PSY290H1-S-20229-LEC-5101
CAP,188
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,10
1657659562,10
1657678580,10
1657700377,10
1657734892,10
1657736031,10
1657737680,10
1657744796,10
1657780717,10
1657815723,11
1657827444,11
1657841424,11
1657851524,11
1657853756,11
1657868023,11
1657911025,45
1657914749,45
1657938204,45
1657991885,47
1658011963,47
1658085387,47
1658086283,47
1658101152,47
1658101473,47
1658117893,47
1658120808,47
1658149282,47
1658163609,47
1658192584,47
1658255580,143
1658255781,143
1658265969,143
1658282799,143
1658284132,143
1658341011,142
1658425310,142
1658438101,142
1658446157,142
1658446785,142
1658460004,142
1658514131,142
1658536189,142
1658552506,142
1658614194,141
1658631652,141
1658698082,140
1658768591,140
1658788819,140
1658856132,140
1658878866,140
1658879072,140
