CODE,PSY330H1-S-20229-LEC-0101
CAP,50
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,2
1657560905,2
1657592491,2
1657598166,2
1657657537,15
1657659562,15
1657678580,15
1657700377,15
1657734892,15
1657736031,15
1657737680,15
1657744796,15
1657780717,15
1657815723,15
1657827444,15
1657841424,15
1657851524,15
1657853756,15
1657868023,15
1657911025,30
1657914749,30
1657938204,30
1657991885,31
1658011963,31
1658085387,31
1658086283,31
1658101152,31
1658101473,31
1658117893,31
1658120808,31
1658149282,31
1658163609,31
1658192584,31
1658255580,32
1658255781,32
1658265969,32
1658282799,32
1658284132,32
1658341011,33
1658425310,33
1658438101,33
1658446157,33
1658446785,33
1658460004,33
1658514131,34
1658536189,34
1658552506,34
1658614194,34
1658631652,34
1658698082,34
1658768591,34
1658788819,34
1658856132,34
1658878866,34
1658879072,34
1658965232,34
1659041782,34
1659049575,34
1659055055,34
1659106110,34
1659116097,34
1659126308,34
1659137081,34
1659154622,34
1659160562,34
1659197518,42
1659228149,42
1659229856,42
1659252439,42
1659298092,43
