CODE,PSY311H1-S-20229-LEC-0101
CAP,50
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,11
1657659562,11
1657678580,11
1657700377,11
1657734892,11
1657736031,11
1657737680,11
1657744796,11
1657780717,11
1657815723,11
1657827444,11
1657841424,11
1657851524,11
1657853756,11
1657868023,11
1657911025,37
1657914749,37
1657938204,37
1657991885,39
1658011963,39
1658085387,41
1658086283,41
1658101152,41
1658101473,41
1658117893,41
1658120808,41
1658149282,41
1658163609,41
1658192584,41
1658255580,56
1658255781,56
1658265969,56
1658282799,56
1658284132,56
1658341011,56
1658425310,56
1658438101,56
1658446157,56
1658446785,56
1658460004,56
1658514131,56
1658536189,56
1658552506,56
1658614194,55
1658631652,55
1658698082,55
1658768591,55
1658788819,55
1658856132,55
1658878866,55
1658879072,55
1658965232,55
1659041782,55
1659049575,55
1659055055,55
1659106110,55
1659116097,55
1659126308,55
1659137081,55
1659154622,55
1659160562,55
1659197518,65
1659228149,65
1659229856,65
1659252439,65
1659298092,67
