CODE,SOC365H1-F-20229-LEC-0101
CAP,100
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,1
1657560897,1
1657592482,1
1657598158,1
1657657520,22
1657659549,22
1657678570,22
1657700365,22
1657734871,24
1657736010,24
1657737663,24
1657744779,24
1657780708,24
1657815709,25
1657827433,25
1657841414,25
1657851506,25
1657853745,25
1657868013,25
1657911016,62
1657914736,62
1657938194,62
1657991875,65
1658011950,65
1658085371,65
1658086263,65
1658101142,65
1658101460,65
1658117879,65
1658120793,65
1658149259,68
1658163599,68
1658192570,68
1658255570,67
1658255771,67
1658265950,67
1658282790,67
1658284116,67
1658341001,67
1658425295,67
1658438086,67
1658446145,67
1658446771,67
1658459993,67
1658514122,68
