CODE,HIS358H1-S-20229-LEC-0101
CAP,45
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,10
1657659562,10
1657678580,10
1657700377,10
1657734892,11
1657736031,11
1657737680,11
1657744796,11
1657780717,11
1657815723,11
1657827444,11
1657841424,11
1657851524,11
1657853756,11
1657868023,11
1657911025,17
1657914749,17
1657938204,17
1657991885,17
1658011963,17
1658085387,18
1658086283,18
1658101152,18
1658101473,18
1658117893,18
1658120808,18
1658149282,18
1658163609,18
1658192584,18
1658255580,23
1658255781,23
1658265969,23
1658282799,23
1658284132,23
1658341011,22
1658425310,22
1658438101,22
1658446157,22
1658446785,22
1658460004,22
1658514131,22
1658536189,22
1658552506,22
1658614194,22
1658631652,22
1658698082,22
1658768591,22
1658788819,22
1658856132,22
1658878866,22
1658879072,22
1658965232,23
1659041782,23
1659049575,23
1659055055,23
1659106110,23
1659116097,23
1659126308,23
1659137081,23
1659154622,23
1659160562,23
1659197518,24
1659228149,24
1659229856,24
1659252439,24
1659298092,24
