CODE,GGR373H1-F-20229-LEC-0101
CAP,52
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,1
1657560897,1
1657592482,1
1657598158,1
1657657520,19
1657659549,19
1657678570,19
1657700365,19
1657734871,21
1657736010,21
1657737663,21
1657744779,21
1657780708,21
1657815709,22
1657827433,22
1657841414,22
1657851506,22
1657853745,22
1657868013,22
1657911016,36
1657914736,36
1657938194,36
1657991875,37
1658011950,37
1658085371,37
1658086263,37
1658101142,37
1658101460,37
1658117879,37
1658120793,37
1658149259,38
1658163599,38
1658192570,38
1658255570,40
1658255771,40
1658265950,40
1658282790,40
1658284116,40
1658341001,40
1658425295,41
1658438086,41
1658446145,41
1658446771,41
1658459993,41
1658514122,41
1658536177,41
1658552496,41
1658614184,41
1658631640,41
1658698072,42
1658768579,43
1658788810,43
1658856123,43
1658878855,43
1658879061,43
