CODE,CLA215H1-F-20229-LEC-0101
CAP,200
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,1
1657560897,1
1657592482,1
1657598158,1
1657657520,15
1657659549,15
1657678570,15
1657700365,15
1657734871,16
1657736010,16
1657737663,16
1657744779,16
1657780708,16
1657815709,17
1657827433,17
1657841414,17
1657851506,17
1657853745,17
1657868013,17
1657911016,25
1657914736,25
1657938194,25
1657991875,26
1658011950,26
1658085371,27
1658086263,27
1658101142,27
1658101460,27
1658117879,27
1658120793,27
1658149259,27
1658163599,27
1658192570,27
1658255570,48
1658255771,48
1658265950,48
1658282790,48
1658284116,48
1658341001,50
1658425295,51
1658438086,51
1658446145,51
1658446771,51
1658459993,51
1658514122,58
