CODE,PHL269H1-F-20229-LEC-0101
CAP,100
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,2
1657560897,2
1657592482,2
1657598158,2
1657657520,9
1657659549,9
1657678570,9
1657700365,9
1657734871,9
1657736010,9
1657737663,9
1657744779,9
1657780708,9
1657815709,9
1657827433,9
1657841414,9
1657851506,9
1657853745,9
1657868013,9
1657911016,18
1657914736,18
1657938194,18
1657991875,18
1658011950,18
1658085371,18
1658086263,18
1658101142,18
1658101460,18
1658117879,18
1658120793,18
1658149259,18
1658163599,18
1658192570,18
1658255570,29
1658255771,29
1658265950,29
1658282790,29
1658284116,29
1658341001,32
1658425295,33
1658438086,33
1658446145,33
1658446771,33
1658459993,33
1658514122,44
1658536177,44
1658552496,44
1658614184,46
1658631640,46
1658698072,47
1658768579,46
1658788810,46
1658856123,46
1658878855,46
1658879061,46
