CODE,CRI491H1-S-20229-LEC-0101
CAP,30
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,5
1657560905,5
1657592491,5
1657598166,5
1657657537,22
1657659562,22
1657678580,22
1657700377,22
1657734892,22
1657736031,22
1657737680,22
1657744796,22
1657780717,22
1657815723,23
1657827444,23
1657841424,23
1657851524,23
1657853756,23
1657868023,23
1657911025,26
1657914749,26
1657938204,26
1657991885,26
1658011963,26
1658085387,26
1658086283,26
1658101152,26
1658101473,26
1658117893,26
1658120808,26
1658149282,26
1658163609,26
1658192584,26
1658255580,26
1658255781,26
1658265969,26
1658282799,26
1658284132,26
1658341011,26
1658425310,26
1658438101,26
1658446157,26
1658446785,26
1658460004,26
1658514131,26
1658536189,26
1658552506,26
1658614194,27
1658631652,27
1658698082,27
1658768591,27
1658788819,27
1658856132,27
1658878866,27
1658879072,27
1658965232,26
1659041782,26
1659049575,26
1659055055,26
