CODE,ACT452H1-S-20229-LEC-0101
CAP,70
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,1
1657560905,1
1657592491,1
1657598166,1
1657657537,58
1657659562,58
1657678580,58
1657700377,58
1657734892,59
1657736031,59
1657737680,59
1657744796,59
1657780717,59
1657815723,61
1657827444,61
1657841424,61
1657851524,61
1657853756,61
1657868023,61
1657911025,84
1657914749,84
1657938204,84
1657991885,84
1658011963,84
1658085387,86
1658086283,86
1658101152,86
1658101473,86
1658117893,86
1658120808,86
1658149282,86
1658163609,86
1658192584,86
1658255580,88
1658255781,88
1658265969,88
1658282799,88
1658284132,88
1658341011,89
1658425310,90
1658438101,90
1658446157,90
1658446785,90
1658460004,90
1658514131,90
1658536189,90
1658552506,90
1658614194,90
1658631652,90
1658698082,90
1658768591,90
1658788819,90
1658856132,90
1658878866,90
1658879072,90
1658965232,90
1659041782,90
1659049575,90
1659055055,90
1659106110,90
1659116097,90
1659126308,90
1659137081,90
1659154622,90
1659160562,90
1659197518,90
1659228149,90
1659229856,90
1659252439,90
1659298092,89
