CODE,ACT371H1-F-20229-LEC-5101
CAP,50
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,21
1657659549,21
1657678570,21
1657700365,21
1657734871,22
1657736010,22
1657737663,22
1657744779,22
1657780708,22
1657815709,23
1657827433,23
1657841414,23
1657851506,23
1657853745,23
1657868013,23
1657911016,38
1657914736,38
1657938194,38
1657991875,38
1658011950,38
1658085371,38
1658086263,38
1658101142,38
1658101460,38
1658117879,38
1658120793,38
1658149259,38
1658163599,38
1658192570,38
1658255570,39
1658255771,39
1658265950,39
1658282790,39
1658284116,39
1658341001,39
1658425295,39
1658438086,39
1658446145,39
1658446771,39
1658459993,39
1658514122,39
1658536177,39
1658552496,39
1658614184,39
1658631640,39
1658698072,39
1658768579,38
1658788810,38
1658856123,38
1658878855,38
1658879061,38
1658965224,38
1659041771,38
1659049567,38
1659055044,38
1659106101,38
1659116089,38
1659126296,38
1659137072,38
1659154611,38
1659160554,38
1659197509,39
1659228141,39
1659229848,39
1659252431,39
1659298084,39
