CODE,PHL388H1-F-20229-LEC-0101
CAP,35
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,19
1657659549,19
1657678570,19
1657700365,19
1657734871,21
1657736010,21
1657737663,21
1657744779,21
1657780708,21
1657815709,21
1657827433,21
1657841414,21
1657851506,21
1657853745,21
1657868013,21
1657911016,41
1657914736,41
1657938194,41
1657991875,42
1658011950,42
1658085371,42
1658086263,42
1658101142,42
1658101460,42
1658117879,42
1658120793,42
1658149259,43
1658163599,43
1658192570,43
1658255570,44
1658255771,44
1658265950,44
1658282790,44
1658284116,44
1658341001,44
1658425295,42
1658438086,42
1658446145,42
1658446771,42
1658459993,42
1658514122,44
1658536177,44
1658552496,44
1658614184,44
1658631640,44
1658698072,44
1658768579,44
1658788810,44
1658856123,44
1658878855,44
1658879061,44
