CODE,ACT348H1-F-20229-LEC-0101
CAP,150
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,2
1657560897,2
1657592482,2
1657598158,2
1657657520,25
1657659549,25
1657678570,25
1657700365,25
1657734871,25
1657736010,25
1657737663,25
1657744779,25
1657780708,25
1657815709,25
1657827433,25
1657841414,25
1657851506,25
1657853745,25
1657868013,25
1657911016,70
1657914736,70
1657938194,70
1657991875,70
1658011950,70
1658085371,70
1658086263,70
1658101142,70
1658101460,70
1658117879,70
1658120793,70
1658149259,70
1658163599,70
1658192570,70
1658255570,70
1658255771,70
1658265950,70
1658282790,70
1658284116,70
1658341001,71
1658425295,71
1658438086,71
1658446145,71
1658446771,71
1658459993,71
1658514122,71
1658536177,71
1658552496,71
1658614184,71
1658631640,71
1658698072,71
1658768579,72
1658788810,72
1658856123,72
1658878855,72
1658879061,72
1658965224,72
1659041771,72
1659049567,72
1659055044,72
1659106101,72
1659116089,72
1659126296,72
1659137072,72
1659154611,72
1659160554,72
1659197509,77
1659228141,77
1659229848,77
1659252431,77
1659298084,77
