CODE,PHL332H1-F-20229-LEC-0101
CAP,35
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,16
1657659549,16
1657678570,16
1657700365,16
1657734871,16
1657736010,16
1657737663,16
1657744779,16
1657780708,16
1657815709,16
1657827433,16
1657841414,16
1657851506,16
1657853745,16
1657868013,16
1657911016,35
1657914736,35
1657938194,35
1657991875,36
1658011950,36
1658085371,36
1658086263,36
1658101142,36
1658101460,36
1658117879,36
1658120793,36
1658149259,36
1658163599,36
1658192570,36
1658255570,39
1658255771,39
1658265950,39
1658282790,39
1658284116,39
1658341001,40
1658425295,39
1658438086,39
1658446145,39
1658446771,39
1658459993,39
1658514122,39
