CODE,PSY210H1-F-20229-LEC-0101
CAP,188
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,2
1657560897,2
1657592482,2
1657598158,2
1657657520,15
1657659549,15
1657678570,15
1657700365,15
1657734871,15
1657736010,15
1657737663,15
1657744779,15
1657780708,15
1657815709,15
1657827433,15
1657841414,15
1657851506,15
1657853745,15
1657868013,15
1657911016,49
1657914736,49
1657938194,49
1657991875,51
1658011950,51
1658085371,51
1658086263,51
1658101142,51
1658101460,51
1658117879,51
1658120793,51
1658149259,53
1658163599,53
1658192570,53
1658255570,145
1658255771,145
1658265950,145
1658282790,145
1658284116,145
1658341001,147
1658425295,147
1658438086,147
1658446145,147
1658446771,147
1658459993,147
1658514122,147
