CODE,URB337H1-S-20229-LEC-0101
CAP,50
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,7
1657659562,7
1657678580,7
1657700377,7
1657734892,7
1657736031,7
1657737680,7
1657744796,7
1657780717,7
1657815723,6
1657827444,6
1657841424,6
1657851524,6
1657853756,6
1657868023,6
1657911025,23
1657914749,23
1657938204,23
1657991885,25
1658011963,25
1658085387,25
1658086283,25
1658101152,25
1658101473,25
1658117893,25
1658120808,25
1658149282,25
1658163609,25
1658192584,25
1658255580,30
1658255781,30
1658265969,30
1658282799,30
1658284132,30
1658341011,30
1658425310,30
1658438101,30
1658446157,30
1658446785,30
1658460004,30
1658514131,30
1658536189,30
1658552506,30
1658614194,30
1658631652,30
1658698082,30
1658768591,31
1658788819,31
1658856132,31
1658878866,31
1658879072,31
