CODE,MCS373H1-S-20229-LEC-0101
CAP,35
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,4
1657659562,4
1657678580,4
1657700377,4
1657734892,3
1657736031,3
1657737680,3
1657744796,3
1657780717,3
1657815723,3
1657827444,3
1657841424,3
1657851524,3
1657853756,3
1657868023,3
1657911025,5
1657914749,5
1657938204,5
1657991885,5
1658011963,5
1658085387,5
1658086283,5
1658101152,5
1658101473,5
1658117893,5
1658120808,5
1658149282,5
1658163609,5
1658192584,5
1658255580,6
1658255781,6
1658265969,6
1658282799,6
1658284132,6
1658341011,6
1658425310,6
1658438101,6
1658446157,6
1658446785,6
1658460004,6
1658514131,6
1658536189,6
1658552506,6
1658614194,6
1658631652,6
1658698082,6
1658768591,6
1658788819,6
1658856132,6
1658878866,6
1658879072,6
