CODE,HMB453H1-F-20229-LEC-0101
CAP,90
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,32
1657560897,32
1657592482,32
1657598158,32
1657657520,100
1657659549,100
1657678570,100
1657700365,100
1657734871,102
1657736010,102
1657737663,102
1657744779,102
1657780708,102
1657815709,101
1657827433,101
1657841414,101
1657851506,101
1657853745,101
1657868013,101
1657911016,104
1657914736,104
1657938194,104
1657991875,104
1658011950,104
1658085371,104
1658086263,104
1658101142,104
1658101460,104
1658117879,104
1658120793,104
1658149259,103
1658163599,103
1658192570,103
1658255570,105
1658255771,105
1658265950,105
1658282790,105
1658284116,105
1658341001,105
1658425295,105
1658438086,105
1658446145,105
1658446771,105
1658459993,105
1658514122,105
1658536177,105
1658552496,105
1658614184,106
1658631640,106
1658698072,106
1658768579,104
1658788810,104
1658856123,103
1658878855,103
1658879061,103
1658965224,103
1659041771,103
1659049567,103
1659055044,103
1659106101,103
1659116089,103
1659126296,103
1659137072,103
1659154611,103
1659160554,103
1659197509,104
1659228141,104
1659229848,104
1659252431,104
1659298084,103
