CODE,BPM335H1-S-20229-LEC-0101
CAP,150
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,1
1657560905,1
1657592491,1
1657598166,1
1657657537,14
1657659562,14
1657678580,14
1657700377,14
1657734892,14
1657736031,14
1657737680,14
1657744796,14
1657780717,14
1657815723,14
1657827444,14
1657841424,14
1657851524,14
1657853756,14
1657868023,14
1657911025,32
1657914749,32
1657938204,32
1657991885,33
1658011963,33
1658085387,32
1658086283,32
1658101152,32
1658101473,32
1658117893,32
1658120808,32
1658149282,32
1658163609,32
1658192584,32
1658255580,33
1658255781,33
1658265969,33
1658282799,33
1658284132,33
1658341011,34
1658425310,34
1658438101,34
1658446157,34
1658446785,34
1658460004,34
1658514131,34
1658536189,34
1658552506,34
1658614194,34
1658631652,34
1658698082,34
1658768591,34
1658788819,34
1658856132,35
1658878866,35
1658879072,35
1658965232,36
1659041782,37
1659049575,37
1659055055,37
1659106110,36
1659116097,36
1659126308,36
1659137081,36
1659154622,36
1659160562,36
1659197518,151
1659228149,151
1659229856,151
1659252439,151
1659298092,157
