CODE,CRI490H1-S-20229-LEC-0101
CAP,30
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,2
1657560905,2
1657592491,2
1657598166,2
1657657537,14
1657659562,14
1657678580,14
1657700377,14
1657734892,15
1657736031,15
1657737680,15
1657744796,15
1657780717,15
1657815723,14
1657827444,14
1657841424,14
1657851524,14
1657853756,14
1657868023,14
1657911025,24
1657914749,24
1657938204,24
1657991885,23
1658011963,23
1658085387,23
1658086283,23
1658101152,23
1658101473,23
1658117893,23
1658120808,23
1658149282,23
1658163609,23
1658192584,23
1658255580,24
1658255781,24
1658265969,24
1658282799,24
1658284132,24
1658341011,24
1658425310,24
1658438101,24
1658446157,24
1658446785,24
1658460004,24
1658514131,24
1658536189,24
1658552506,24
1658614194,24
1658631652,24
1658698082,24
1658768591,24
1658788819,24
1658856132,24
1658878866,24
1658879072,24
1658965232,25
1659041782,24
1659049575,24
1659055055,24
1659106110,24
1659116097,24
1659126308,24
1659137081,24
1659154622,24
1659160562,24
1659197518,25
1659228149,25
1659229856,25
1659252439,25
1659298092,25
