CODE,HIS366H1-F-20229-LEC-0101
CAP,45
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,2
1657560897,2
1657592482,2
1657598158,2
1657657520,15
1657659549,15
1657678570,15
1657700365,15
1657734871,16
1657736010,16
1657737663,16
1657744779,16
1657780708,16
1657815709,17
1657827433,17
1657841414,17
1657851506,17
1657853745,17
1657868013,17
1657911016,29
1657914736,29
1657938194,29
1657991875,29
1658011950,29
1658085371,28
1658086263,28
1658101142,28
1658101460,28
1658117879,28
1658120793,28
1658149259,28
1658163599,28
1658192570,28
1658255570,31
1658255771,31
1658265950,31
1658282790,31
1658284116,31
1658341001,32
1658425295,32
1658438086,32
1658446145,32
1658446771,32
1658459993,32
1658514122,34
1658536177,34
1658552496,34
1658614184,34
1658631640,34
1658698072,34
1658768579,34
1658788810,34
1658856123,33
1658878855,33
1658879061,33
