CODE,RSM358H1-F-20229-LEC-0101
CAP,50
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,1
1657560897,1
1657592482,1
1657598158,1
1657657520,22
1657659549,22
1657678570,22
1657700365,22
1657734871,23
1657736010,23
1657737663,23
1657744779,23
1657780708,23
1657815709,24
1657827433,24
1657841414,24
1657851506,24
1657853745,24
1657868013,24
1657911016,61
1657914736,61
1657938194,61
1657991875,61
1658011950,61
1658085371,61
1658086263,61
1658101142,61
1658101460,61
1658117879,61
1658120793,61
1658149259,61
1658163599,61
1658192570,61
1658255570,62
1658255771,62
1658265950,62
1658282790,62
1658284116,62
1658341001,62
1658425295,63
1658438086,63
1658446145,63
1658446771,63
1658459993,63
1658514122,63
