CODE,IRE379H1-S-20229-LEC-0101
CAP,45
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,12
1657659562,12
1657678580,12
1657700377,12
1657734892,13
1657736031,13
1657737680,13
1657744796,13
1657780717,13
1657815723,13
1657827444,13
1657841424,13
1657851524,13
1657853756,13
1657868023,13
1657911025,30
1657914749,30
1657938204,30
1657991885,30
1658011963,30
1658085387,30
1658086283,30
1658101152,30
1658101473,30
1658117893,30
1658120808,30
1658149282,30
1658163609,30
1658192584,30
1658255580,41
1658255781,41
1658265969,41
1658282799,41
1658284132,41
1658341011,42
1658425310,42
1658438101,42
1658446157,42
1658446785,42
1658460004,42
1658514131,43
1658536189,43
1658552506,43
1658614194,43
1658631652,43
1658698082,45
1658768591,45
1658788819,45
1658856132,46
1658878866,46
1658879072,46
1658965232,46
1659041782,46
1659049575,46
1659055055,46
