CODE,ACT245H1-S-20229-LEC-0101
CAP,160
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,1
1657560905,1
1657592491,1
1657598166,1
1657657537,3
1657659562,3
1657678580,3
1657700377,3
1657734892,3
1657736031,3
1657737680,3
1657744796,3
1657780717,3
1657815723,3
1657827444,3
1657841424,3
1657851524,3
1657853756,3
1657868023,3
1657911025,21
1657914749,21
1657938204,21
1657991885,20
1658011963,20
1658085387,20
1658086283,20
1658101152,20
1658101473,20
1658117893,20
1658120808,20
1658149282,21
1658163609,21
1658192584,21
1658255580,98
1658255781,98
1658265969,98
1658282799,98
1658284132,98
1658341011,100
1658425310,101
1658438101,101
1658446157,101
1658446785,101
1658460004,101
1658514131,106
1658536189,106
1658552506,106
1658614194,107
1658631652,107
1658698082,106
1658768591,107
1658788819,107
1658856132,107
1658878866,107
1658879072,107
1658965232,108
1659041782,108
1659049575,108
1659055055,108
1659106110,108
1659116097,108
1659126308,108
1659137081,108
1659154622,108
1659160562,108
1659197518,112
1659228149,112
1659229856,112
1659252439,112
1659298092,113
