CODE,FOR302H1-S-20229-LEC-0101
CAP,75
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,1
1657560905,1
1657592491,1
1657598166,1
1657657537,33
1657659562,33
1657678580,33
1657700377,33
1657734892,32
1657736031,32
1657737680,32
1657744796,32
1657780717,32
1657815723,32
1657827444,32
1657841424,32
1657851524,32
1657853756,32
1657868023,32
1657911025,87
1657914749,87
1657938204,87
1657991885,87
1658011963,87
1658085387,86
1658086283,86
1658101152,86
1658101473,86
1658117893,86
1658120808,86
1658149282,86
1658163609,86
1658192584,86
1658255580,94
1658255781,94
1658265969,94
1658282799,94
1658284132,94
1658341011,94
1658425310,94
1658438101,94
1658446157,94
1658446785,94
1658460004,94
1658514131,94
1658536189,94
1658552506,94
1658614194,95
1658631652,95
1658698082,97
1658768591,97
1658788819,97
1658856132,97
1658878866,97
1658879072,97
1658965232,98
1659041782,97
1659049575,97
1659055055,97
1659106110,97
1659116097,97
1659126308,97
1659137081,97
1659154622,97
1659160562,97
1659197518,97
1659228149,97
1659229856,97
1659252439,97
1659298092,97
