CODE,RSM439H1-S-20229-LEC-0101
CAP,50
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,2
1657560905,2
1657592491,2
1657598166,2
1657657537,65
1657659562,65
1657678580,65
1657700377,65
1657734892,65
1657736031,65
1657737680,65
1657744796,65
1657780717,65
1657815723,67
1657827444,67
1657841424,67
1657851524,67
1657853756,67
1657868023,67
1657911025,67
1657914749,67
1657938204,67
1657991885,67
1658011963,67
1658085387,67
1658086283,67
1658101152,67
1658101473,67
1658117893,67
1658120808,67
1658149282,66
1658163609,66
1658192584,66
1658255580,66
1658255781,66
1658265969,66
1658282799,66
1658284132,66
1658341011,66
1658425310,66
1658438101,66
1658446157,66
1658446785,66
1658460004,66
1658514131,66
