CODE,PHL367H1-F-20229-LEC-0101
CAP,35
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,18
1657659549,18
1657678570,18
1657700365,18
1657734871,23
1657736010,23
1657737663,23
1657744779,23
1657780708,23
1657815709,22
1657827433,22
1657841414,22
1657851506,22
1657853745,22
1657868013,22
1657911016,38
1657914736,38
1657938194,38
1657991875,40
1658011950,40
1658085371,39
1658086263,39
1658101142,39
1658101460,39
1658117879,39
1658120793,39
1658149259,39
1658163599,39
1658192570,39
1658255570,42
1658255771,42
1658265950,42
1658282790,42
1658284116,42
1658341001,42
1658425295,42
1658438086,42
1658446145,42
1658446771,42
1658459993,42
1658514122,42
1658536177,42
1658552496,42
1658614184,42
1658631640,42
1658698072,42
1658768579,42
1658788810,42
1658856123,42
1658878855,42
1658879061,42
1658965224,43
1659041771,43
1659049567,43
1659055044,43
