CODE,CRI370H1-S-20229-LEC-0101
CAP,120
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,27
1657659562,27
1657678580,27
1657700377,27
1657734892,27
1657736031,27
1657737680,27
1657744796,27
1657780717,27
1657815723,28
1657827444,28
1657841424,28
1657851524,28
1657853756,28
1657868023,28
1657911025,90
1657914749,90
1657938204,90
1657991885,93
1658011963,93
1658085387,94
1658086283,94
1658101152,94
1658101473,94
1658117893,94
1658120808,94
1658149282,94
1658163609,94
1658192584,94
1658255580,104
1658255781,104
1658265969,104
1658282799,104
1658284132,104
1658341011,106
1658425310,106
1658438101,106
1658446157,106
1658446785,106
1658460004,106
1658514131,107
