CODE,HIS361H1-S-20229-LEC-0101
CAP,70
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,16
1657659562,16
1657678580,16
1657700377,16
1657734892,16
1657736031,16
1657737680,16
1657744796,16
1657780717,16
1657815723,15
1657827444,15
1657841424,15
1657851524,15
1657853756,15
1657868023,15
1657911025,40
1657914749,40
1657938204,40
1657991885,40
1658011963,40
1658085387,40
1658086283,40
1658101152,40
1658101473,40
1658117893,40
1658120808,40
1658149282,41
1658163609,41
1658192584,41
1658255580,50
1658255781,50
1658265969,50
1658282799,50
1658284132,50
1658341011,51
1658425310,51
1658438101,51
1658446157,51
1658446785,51
1658460004,51
1658514131,52
1658536189,52
1658552506,52
1658614194,51
1658631652,51
1658698082,51
1658768591,51
1658788819,51
1658856132,51
1658878866,51
1658879072,51
