CODE,RSM391H1-F-20229-LEC-0101
CAP,50
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,36
1657659549,36
1657678570,36
1657700365,36
1657734871,38
1657736010,38
1657737663,38
1657744779,38
1657780708,38
1657815709,39
1657827433,39
1657841414,39
1657851506,39
1657853745,39
1657868013,39
1657911016,67
1657914736,67
1657938194,67
1657991875,67
1658011950,67
1658085371,68
1658086263,68
1658101142,68
1658101460,68
1658117879,68
1658120793,68
1658149259,67
1658163599,67
1658192570,67
1658255570,67
1658255771,67
1658265950,67
1658282790,67
1658284116,67
1658341001,67
1658425295,67
1658438086,67
1658446145,67
1658446771,67
1658459993,67
1658514122,66
