CODE,NMC378H1-S-20229-LEC-0101
CAP,30
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,6
1657659562,6
1657678580,6
1657700377,6
1657734892,6
1657736031,6
1657737680,6
1657744796,6
1657780717,6
1657815723,6
1657827444,6
1657841424,6
1657851524,6
1657853756,6
1657868023,6
1657911025,13
1657914749,13
1657938204,13
1657991885,13
1658011963,13
1658085387,13
1658086283,13
1658101152,13
1658101473,13
1658117893,13
1658120808,13
1658149282,14
1658163609,14
1658192584,14
1658255580,16
1658255781,16
1658265969,16
1658282799,16
1658284132,16
1658341011,17
1658425310,17
1658438101,17
1658446157,17
1658446785,17
1658460004,17
1658514131,18
