CODE,POL337H1-S-20229-LEC-5101
CAP,50
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,23
1657659562,23
1657678580,23
1657700377,23
1657734892,23
1657736031,23
1657737680,23
1657744796,23
1657780717,23
1657815723,23
1657827444,23
1657841424,23
1657851524,23
1657853756,23
1657868023,23
1657911025,73
1657914749,73
1657938204,73
1657991885,73
1658011963,73
1658085387,73
1658086283,73
1658101152,73
1658101473,73
1658117893,73
1658120808,73
1658149282,73
1658163609,73
1658192584,73
1658255580,78
1658255781,78
1658265969,78
1658282799,78
1658284132,78
1658341011,78
1658425310,78
1658438101,78
1658446157,78
1658446785,78
1658460004,78
1658514131,78
1658536189,78
1658552506,78
1658614194,79
1658631652,79
1658698082,79
1658768591,79
1658788819,79
1658856132,80
1658878866,80
1658879072,80
1658965232,81
1659041782,81
1659049575,81
1659055055,81
1659106110,79
1659116097,79
1659126308,79
1659137081,79
1659154622,79
1659160562,79
1659197518,87
1659228149,87
1659229856,87
1659252439,87
1659298092,86
