CODE,CRE371H1-F-20229-LEC-0101
CAP,45
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,16
1657659549,16
1657678570,16
1657700365,16
1657734871,17
1657736010,17
1657737663,17
1657744779,17
1657780708,17
1657815709,17
1657827433,17
1657841414,17
1657851506,17
1657853745,17
1657868013,17
1657911016,31
1657914736,31
1657938194,31
1657991875,31
1658011950,31
1658085371,31
1658086263,31
1658101142,31
1658101460,31
1658117879,31
1658120793,31
1658149259,31
1658163599,31
1658192570,31
1658255570,35
1658255771,35
1658265950,35
1658282790,35
1658284116,35
1658341001,35
1658425295,35
1658438086,35
1658446145,35
1658446771,35
1658459993,35
1658514122,35
1658536177,35
1658552496,35
1658614184,35
1658631640,35
1658698072,35
1658768579,35
1658788810,35
1658856123,35
1658878855,35
1658879061,35
1658965224,35
1659041771,34
1659049567,34
1659055044,34
