CODE,FRE383H1-F-20229-LEC-0101
CAP,50
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,15
1657659549,15
1657678570,15
1657700365,15
1657734871,15
1657736010,15
1657737663,15
1657744779,15
1657780708,15
1657815709,16
1657827433,16
1657841414,16
1657851506,16
1657853745,16
1657868013,16
1657911016,32
1657914736,32
1657938194,32
1657991875,32
1658011950,32
1658085371,32
1658086263,32
1658101142,32
1658101460,32
1658117879,32
1658120793,32
1658149259,33
1658163599,33
1658192570,33
1658255570,38
1658255771,38
1658265950,38
1658282790,38
1658284116,38
1658341001,38
1658425295,38
1658438086,38
1658446145,38
1658446771,38
1658459993,38
1658514122,38
