CODE,CHM427H1-S-20229-LEC-0101
CAP,10
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,3
1657659562,3
1657678580,3
1657700377,3
1657734892,3
1657736031,3
1657737680,3
1657744796,3
1657780717,3
1657815723,3
1657827444,3
1657841424,3
1657851524,3
1657853756,3
1657868023,3
1657911025,4
1657914749,4
1657938204,4
1657991885,4
1658011963,4
1658085387,4
1658086283,4
1658101152,4
1658101473,4
1658117893,4
1658120808,4
1658149282,4
1658163609,4
1658192584,4
1658255580,4
1658255781,4
1658265969,4
1658282799,4
1658284132,4
1658341011,4
1658425310,4
1658438101,4
1658446157,4
1658446785,4
1658460004,4
1658514131,4
1658536189,4
1658552506,4
1658614194,5
1658631652,5
1658698082,5
1658768591,5
1658788819,5
1658856132,5
1658878866,5
1658879072,5
1658965232,5
1659041782,5
1659049575,5
1659055055,5
