CODE,SOC465H1-F-20229-LEC-0101
CAP,15
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,15
1657659549,15
1657678570,15
1657700365,15
1657734871,14
1657736010,14
1657737663,14
1657744779,14
1657780708,14
1657815709,10
1657827433,10
1657841414,10
1657851506,10
1657853745,10
1657868013,10
1657911016,11
1657914736,11
1657938194,11
1657991875,11
1658011950,11
1658085371,11
1658086263,11
1658101142,11
1658101460,11
1658117879,11
1658120793,11
1658149259,11
1658163599,11
1658192570,11
1658255570,11
1658255771,11
1658265950,11
1658282790,11
1658284116,11
1658341001,11
1658425295,11
1658438086,11
1658446145,11
1658446771,11
1658459993,11
1658514122,11
