CODE,RSM459H1-F-20229-LEC-0101
CAP,35
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,2
1657560897,2
1657592482,2
1657598158,2
1657657520,64
1657659549,64
1657678570,64
1657700365,64
1657734871,64
1657736010,64
1657737663,64
1657744779,64
1657780708,64
1657815709,64
1657827433,64
1657841414,64
1657851506,64
1657853745,64
1657868013,64
1657911016,69
1657914736,69
1657938194,69
1657991875,69
1658011950,69
1658085371,69
1658086263,69
1658101142,69
1658101460,69
1658117879,69
1658120793,69
1658149259,69
1658163599,69
1658192570,69
1658255570,69
1658255771,69
1658265950,69
1658282790,69
1658284116,69
1658341001,69
1658425295,69
1658438086,69
1658446145,69
1658446771,69
1658459993,69
1658514122,69
1658536177,69
1658552496,69
1658614184,69
1658631640,69
1658698072,69
1658768579,69
1658788810,69
1658856123,69
1658878855,69
1658879061,69
