CODE,GGR415H1-F-20229-LEC-0101
CAP,30
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,1
1657560897,1
1657592482,1
1657598158,1
1657657520,7
1657659549,7
1657678570,7
1657700365,7
1657734871,8
1657736010,8
1657737663,8
1657744779,8
1657780708,8
1657815709,9
1657827433,9
1657841414,9
1657851506,9
1657853745,9
1657868013,9
1657911016,10
1657914736,10
1657938194,10
1657991875,10
1658011950,10
1658085371,11
1658086263,11
1658101142,11
1658101460,11
1658117879,11
1658120793,11
1658149259,10
1658163599,10
1658192570,10
1658255570,10
1658255771,10
1658265950,10
1658282790,10
1658284116,10
1658341001,10
1658425295,10
1658438086,10
1658446145,10
1658446771,10
1658459993,10
1658514122,10
1658536177,10
1658552496,10
1658614184,10
1658631640,10
1658698072,9
1658768579,9
1658788810,9
1658856123,9
1658878855,9
1658879061,9
1658965224,9
1659041771,9
1659049567,9
1659055044,9
1659106101,9
1659116089,9
1659126296,9
1659137072,9
1659154611,9
1659160554,9
1659197509,9
1659228141,9
1659229848,9
1659252431,9
1659298084,9
