CODE,PHL237H1-F-20229-LEC-0101
CAP,100
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,1
1657560897,1
1657592482,1
1657598158,1
1657657520,22
1657659549,22
1657678570,22
1657700365,22
1657734871,21
1657736010,21
1657737663,21
1657744779,21
1657780708,21
1657815709,22
1657827433,22
1657841414,22
1657851506,22
1657853745,22
1657868013,22
1657911016,46
1657914736,46
1657938194,46
1657991875,46
1658011950,46
1658085371,43
1658086263,43
1658101142,43
1658101460,43
1658117879,43
1658120793,43
1658149259,46
1658163599,46
1658192570,46
1658255570,79
1658255771,79
1658265950,79
1658282790,79
1658284116,79
1658341001,85
1658425295,84
1658438086,84
1658446145,84
1658446771,84
1658459993,84
1658514122,122
