CODE,HIS283Y1-Y-20229-LEC-5101
CAP,-1
1656647691,-2
1656655658,-2
1656693725,-2
1656799545,-2
1657039032,-2
1657124785,-2
1657129902,-2
1657154828,-2
1657154929,-2
1657157139,-2
1657169427,-2
1657171607,-2
1657208567,-2
1657224152,-2
1657394890,-2
1657522642,-2
1657560899,-2
1657592485,-2
1657598160,-2
1657657525,-2
1657659552,-2
1657678573,-2
1657700368,-2
1657734875,-2
1657736016,-2
1657737668,-2
1657744785,-2
1657780710,-2
1657815712,-2
1657827436,-2
1657841417,-2
1657851515,-2
1657853748,-2
1657868016,-2
1657911019,-2
1657914739,-2
1657938197,-2
1657991877,-2
1658011954,-2
1658085375,-2
1658086268,-2
1658101144,-2
1658101464,-2
1658117882,-2
1658120797,-2
1658149266,-2
1658163601,-2
1658192573,-2
1658255573,-2
1658255774,-2
1658265957,-2
1658282792,-2
1658284123,-2
1658341004,-2
1658425299,-2
1658438090,-2
1658446148,-2
1658446775,-2
1658459996,-2
1658514124,-2
