CODE,JHA410H1-S-20229-LEC-0101
CAP,147
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,36
1657560905,36
1657592491,36
1657598166,36
1657657537,69
1657659562,69
1657678580,69
1657700377,69
1657734892,69
1657736031,69
1657737680,69
1657744796,69
1657780717,69
1657815723,69
1657827444,69
1657841424,69
1657851524,69
1657853756,69
1657868023,69
1657911025,121
1657914749,121
1657938204,121
1657991885,122
1658011963,122
1658085387,121
1658086283,121
1658101152,121
1658101473,121
1658117893,121
1658120808,121
1658149282,120
1658163609,120
1658192584,120
1658255580,121
1658255781,121
1658265969,121
1658282799,121
1658284132,121
1658341011,122
1658425310,122
1658438101,122
1658446157,122
1658446785,122
1658460004,122
1658514131,122
