CODE,FAH207H1-S-20229-LEC-0101
CAP,150
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,27
1657659562,27
1657678580,27
1657700377,27
1657734892,30
1657736031,30
1657737680,30
1657744796,30
1657780717,30
1657815723,29
1657827444,29
1657841424,29
1657851524,29
1657853756,29
1657868023,29
1657911025,56
1657914749,56
1657938204,56
1657991885,57
1658011963,57
1658085387,57
1658086283,57
1658101152,57
1658101473,57
1658117893,57
1658120808,57
1658149282,56
1658163609,56
1658192584,56
1658255580,160
1658255781,160
1658265969,160
1658282799,160
1658284132,160
1658341011,160
1658425310,164
1658438101,164
1658446157,164
1658446785,164
1658460004,164
1658514131,179
1658536189,179
1658552506,179
1658614194,179
1658631652,179
1658698082,180
1658768591,180
1658788819,180
1658856132,180
1658878866,180
1658879072,180
1658965232,180
1659041782,180
1659049575,180
1659055055,180
