CODE,RLG107H1-S-20229-LEC-0101
CAP,150
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,27
1657659562,27
1657678580,27
1657700377,27
1657734892,29
1657736031,29
1657737680,29
1657744796,29
1657780717,29
1657815723,29
1657827444,29
1657841424,29
1657851524,29
1657853756,29
1657868023,29
1657911025,44
1657914749,44
1657938204,44
1657991885,44
1658011963,44
1658085387,45
1658086283,45
1658101152,45
1658101473,45
1658117893,45
1658120808,45
1658149282,46
1658163609,46
1658192584,46
1658255580,84
1658255781,84
1658265969,84
1658282799,84
1658284132,84
1658341011,86
1658425310,90
1658438101,90
1658446157,90
1658446785,90
1658460004,90
1658514131,133
1658536189,133
1658552506,133
1658614194,140
1658631652,140
1658698082,140
1658768591,142
1658788819,142
1658856132,145
1658878866,145
1658879072,145
