CODE,PSY397H1-F-20229-LEC-0101
CAP,50
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,18
1657659549,18
1657678570,18
1657700365,18
1657734871,18
1657736010,18
1657737663,18
1657744779,18
1657780708,18
1657815709,18
1657827433,18
1657841414,18
1657851506,18
1657853745,18
1657868013,18
1657911016,34
1657914736,34
1657938194,34
1657991875,33
1658011950,33
1658085371,33
1658086263,33
1658101142,33
1658101460,33
1658117879,33
1658120793,33
1658149259,33
1658163599,33
1658192570,33
1658255570,35
1658255771,35
1658265950,35
1658282790,35
1658284116,35
1658341001,36
1658425295,36
1658438086,36
1658446145,36
1658446771,36
1658459993,36
1658514122,36
